0.672,0.016,-0.284,-1.1186558347343882
0.689,0.012,-0.278,-0.7770090923072703
0.623,-0.046,-0.281,-0.9621731886028603
0.619,0.037,-0.284,-0.8475542409231941
0.635,-0.001,-0.28,-0.7946636160565166
0.73,0.008,-0.277,-0.7538901848500105
0.65,0.027,-0.279,-1.08525832467072
0.633,-0.014,-0.279,-0.8278282934532271
0.649,-0.061,-0.283,-0.983799900892891
0.65,-0.021,-0.284,-0.9319966375243202
0.632,-0.149,-0.283,-0.8362993791924007
0.667,0.04,-0.284,-1.2388197500305336
0.684,-0.054,-0.286,-0.719413999169913
0.674,0.051,-0.275,-0.7513419009442914
0.66,-0.087,-0.274,-0.4931013006510326
0.679,-0.069,-0.282,-0.832059928046479
0.644,-0.056,-0.276,-1.0801404579484837
0.618,-0.079,-0.271,-1.2388197500305336
0.635,0.016,-0.281,-0.832059928046479
0.663,0.018,-0.281,-0.8420592304924676
0.657,-0.049,-0.279,-1.1254464431989346
0.667,-0.032,-0.277,-1.0685387780990092
0.669,-0.021,-0.281,-0.7365821454527111
0.646,-0.057,-0.28,-0.9993581158575283
0.669,-0.015,-0.279,-1.0117852519034267
0.684,-0.011,-0.283,-0.9621731886028603
0.632,-0.044,-0.278,-1.0486084680805896
0.646,-0.024,-0.282,-0.9379849342158924
0.706,-0.009,-0.277,-1.0685387780990092
0.693,-0.002,-0.277,-0.9993581158575283
0.689,-0.031,-0.28,-0.8083087140193389
0.702,-0.019,-0.276,-1.08525832467072
0.638,-0.073,-0.279,-1.004090415414442
0.661,-0.039,-0.283,-1.057055054600223
0.667,-0.017,-0.279,-1.0165588506814955
0.679,-0.06,-0.281,-0.9561197396760583
0.622,-0.07,-0.283,-0.9759845769055194
0.642,-0.115,-0.276,-0.8647051823449055
0.665,-0.022,-0.286,-1.0261720265985357
0.675,-0.033,-0.282,-0.9379849342158924
0.644,-0.056,-0.282,-0.9215670611373877
0.686,-0.055,-0.276,-0.9275119159753159
0.67,-0.006,-0.283,-1.0407665164339077
0.716,0.035,-0.284,-1.256260225299347
0.676,-0.0,-0.278,-0.9112005450902521
0.674,-0.038,-0.288,-1.0506208995278166
0.66,-0.056,-0.283,-0.9112005450902521
0.694,-0.05,-0.281,-1.0685387780990092
0.651,-0.075,-0.281,-1.0585179669551428
0.669,-0.037,-0.28,-1.1516089637584976
